date,sentiment,total_volume,total_pnl,trade_count
2023-05-01,Greed,0.25129999999999997,0.0,3
2023-12-05,Extreme Greed,11.80901,0.0,9
2023-12-14,Greed,4092.28901,-205.43473700000007,11
2023-12-15,Greed,3558.0,-24.632033999999997,2
2023-12-16,Greed,39897.0,0.0,3
2023-12-17,Greed,86246.4486,304.982785,14
2023-12-18,Greed,14.306,0.0,2
2023-12-19,Greed,161546.30599999998,1000.5386120000001,15
2023-12-20,Greed,174520.2,162.732282,18
2023-12-21,Greed,1364.3,537.211402,49
2023-12-22,Greed,2450.7491,141.832675,10
2023-12-23,Greed,141665.4,146.936704,13
2023-12-24,Greed,284682.19608,1008.619956,39
2023-12-25,Greed,26.3812,-245.081348,3
2023-12-27,Greed,455540.0,-704.8892269999999,28
2023-12-28,Greed,263752.0,-970.730876,23
2023-12-29,Greed,15843.60258,508.92214299999995,50
2023-12-30,Greed,158399.89232,354.998648,52
2024-01-01,Greed,4178.78664,-129.53146,18
2024-01-02,Greed,208218.35486,783.979116,17
2024-01-03,Greed,64502.1274,866.015507,67
2024-01-04,Greed,45.0958,-67.60364,5
2024-01-05,Greed,251.80766,164.141565,66
2024-01-06,Greed,7077.42664,135.58166400000002,22
2024-01-07,Greed,165182.52107,-835.681235,97
2024-01-08,Greed,108119.81523000001,-269.874439,128
2024-01-09,Extreme Greed,129356.31168,-826.349863,70
2024-01-10,Greed,200302.43156,-1517.091342,193
2024-01-11,Extreme Greed,846.43972,-164.08950099999998,21
2024-01-12,Greed,1542.27934,-1925.519024,7
2024-01-15,Neutral,1.43192,152.85358,14
2024-01-16,Greed,2608.18062,-2299.171458,9
2024-01-17,Greed,4055.02266,813.2741110000001,53
2024-01-18,Greed,93.72578,68.93319,46
2024-01-19,Neutral,1754.7376,-385.419235,48
2024-01-20,Neutral,256540.35666,-146.57487000000003,106
2024-01-21,Greed,44252.23533,266.58114600000005,11
2024-01-22,Greed,156977.46867,1375.640959,85
2024-01-23,Neutral,87110.23871,-369.2447299999998,45
2024-01-24,Neutral,48160.40059,-2808.353815,68
2024-01-25,Neutral,756.8299999999999,-3093.6293849999997,6
2024-01-26,Neutral,95267.0,90.2,5
2024-01-28,Neutral,1068.0,-2478.06972,11
2024-01-29,Greed,237603.48712,486.562542,74
2024-01-30,Greed,91.43791999999999,-173.65419100000003,49
2024-01-31,Greed,42786.30905,-799.840817,859
2024-02-01,Greed,44986.0,0.0,6
2024-02-02,Greed,42139.736820000006,456.423473,42
2024-02-03,Greed,9661.26755,223.30918699999998,56
2024-02-04,Greed,20905.14109,47.62389499999999,35
2024-02-05,Greed,29741.6286,-33.45419400000003,72
2024-02-06,Greed,55455572.2847,-215.615907,1088
2024-02-07,Greed,13261.9,241.24212,15
2024-02-08,Greed,5609953.100000001,770.756024,10
2024-02-11,Greed,26558.56903,983.443176,34
2024-02-12,Greed,1017.55939,913.8817869999998,16
2024-02-13,Extreme Greed,33158.0,559.44389,14
2024-02-14,Greed,160839.68529,3830.599833,111
2024-02-15,Greed,48598.78529,1840.797677,63
2024-02-16,Greed,12368863.14415,5491.768834,182
2024-02-17,Extreme Greed,222280.10915,1929.6418,94
2024-02-18,Greed,172143.4,477.6248299999999,97
2024-02-19,Extreme Greed,272054.00084,4317.768563,101
2024-02-20,Greed,69782.00042,3263.628824,39
2024-02-21,Extreme Greed,171181.54,1858.7985700000002,22
2024-02-22,Greed,169921.40042,3894.1050699999996,88
2024-02-23,Extreme Greed,43567.40042,1418.55293,143
2024-02-25,Greed,7900.0,-30.7705,5
2024-02-26,Greed,67296.0,4416.8473,39
2024-02-27,Extreme Greed,117294.88,888.511733,63
2024-02-28,Extreme Greed,8904445.6,2503.747235,45
2024-02-29,Extreme Greed,7553065.18,9813.996992,116
2024-03-01,Extreme Greed,25984676.0,8244.241409,137
2024-03-02,Extreme Greed,651733.0,230.90060000000005,31
2024-03-03,Extreme Greed,48774887.74,8361.086245,79
2024-03-04,Extreme Greed,36892599.52038,27799.775742,300
2024-03-05,Extreme Greed,44987293.0,19791.026041,180
2024-03-06,Extreme Greed,10955146.0,6814.825139,82
2024-03-08,Extreme Greed,3448270.8,4271.886236,67
2024-03-09,Extreme Greed,17984276.7,9949.501624,117
2024-03-10,Extreme Greed,32040.08,2482.9272,42
2024-03-11,Extreme Greed,139371.0,3588.179495,42
2024-03-12,Extreme Greed,11404.0,3039.166,8
2024-03-13,Extreme Greed,1.5126,0.0,7
2024-03-14,Extreme Greed,563982.3126000001,3465.865832,18
2024-03-15,Extreme Greed,11725690.8947,6236.513651,62
2024-03-16,Extreme Greed,1112354.4242,228.57984,8
2024-03-17,Extreme Greed,573.1383000000001,503.293955,23
2024-03-18,Extreme Greed,19900.3233,1456.9577,19
2024-03-19,Extreme Greed,176263.0849,668.797973,24
2024-03-20,Greed,197774.3712,6423.134599,69
2024-03-21,Extreme Greed,160612.8186,2335.5080749999997,28
2024-03-24,Greed,10235.8,1297.018477,19
2024-03-25,Extreme Greed,15.9576,1302.916428,7
2024-03-26,Extreme Greed,33445.2556,3215.906593,118
2024-03-27,Extreme Greed,13722.38876,150.41114,38
2024-03-28,Extreme Greed,398571.7446,227.85100799999998,13
2024-03-29,Extreme Greed,24.4455,883.097404,15
2024-03-30,Extreme Greed,517830.0,1100.57514,45
2024-03-31,Extreme Greed,11.002400000000002,912.786145,13
2024-04-01,Extreme Greed,9563430.3674,2507.963406,77
2024-04-02,Extreme Greed,5958.1049,883.760812,41
2024-04-03,Greed,2310.0,126.7884,4
2024-04-04,Greed,28.284299999999998,0.0,32
2024-04-05,Extreme Greed,208515.2373,10706.484306,100
2024-04-06,Extreme Greed,20.4808,236.33513399999998,16
2024-04-07,Extreme Greed,14.7128,0.0,23
2024-04-08,Extreme Greed,11492.048999999999,1218.4267,30
2024-04-09,Extreme Greed,16.2979,0.0,3
